state,latitude,longitude,city,name,status,founded_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,state_code,category_code,has_VC,has_angel,has_roundA,has_roundB,has_roundC,avg_participants,is_top500,id,funding_duration_first,funding_duration_last,broad_category,funding_category
Colorado,39.059811,-105.311104,Denver,SupportLocal,operating,2011-01-03,2012-01-01,2013-05-07,0.99,2.34,0.32,0.32,4,3,4080000,1,CO,social,0,1,0,0,0,4.0,0,1207,363,855,Software,Medium
California,37.4013589,-122.0531348,Mountain View,GlobeIn,operating,2011-01-01,2013-02-28,2013-02-28,2.16,2.16,2.67,2.67,0,1,1100000,1,CA,ecommerce,0,1,0,0,0,3.0,0,1208,789,789,Software,Low
California,36.116203,-119.681564,Emeryville,Revolights,operating,2011-09-01,2012-05-01,2012-11-01,0.67,1.17,0.0,0.0,2,2,550000,1,CA,hardware,0,0,0,0,0,1.0,0,1209,243,427,Hardware,Low
New York,40.7448046,-73.9935406,New York,Zady,operating,2012-01-01,2013-03-01,2013-03-01,1.16,1.16,0.33,1.85,3,1,1350000,2,NY,fashion,0,1,0,0,0,1.0,1,1210,425,425,Business,Low
Maryland,39.2766287,-76.612272,Baltimore,Riskive,closed,2013-01-01,2013-07-09,2013-07-09,0.52,0.52,0.08,0.08,3,1,2200000,1,MD,security,0,0,0,0,0,3.0,1,1211,189,189,Service,Medium
California,36.116203,-119.681564,Montecito,AnsibleWorks,operating,2013-01-01,2013-08-12,2013-08-12,0.61,0.61,0.25,0.25,4,1,6000000,1,CA,enterprise,0,0,1,0,0,2.0,1,1212,223,223,Software,Medium
California,36.116203,-119.681564,La Jolla,Carolus Therapeutics,closed,2007-01-01,2013-03-05,2013-03-05,6.18,6.18,0.92,0.92,4,1,2250000,1,CA,biotech,0,0,0,0,0,1.0,1,1213,2255,2255,software,Medium
Massachusetts,42.36263,-71.082047,Cambridge,clypd,operating,2012-11-01,2013-03-05,2013-11-20,0.34,1.05,0.41,1.05,7,2,10400000,2,MA,advertising,0,0,1,0,0,5.5,1,1214,124,384,Service,Medium
California,36.9742092,-122.0276183,Santa Cruz,Looker,operating,2011-01-01,2013-03-06,2013-08-13,2.18,2.62,2.58,2.58,7,2,18000000,1,CA,analytics,0,0,1,0,0,2.0,1,1215,795,955,Software,High
California,36.116203,-119.681564,Santa Clara,Illumio,operating,2013-01-01,2013-01-14,2013-09-20,0.04,0.72,0.72,0.72,0,2,42500000,1,CA,enterprise,0,0,1,1,0,2.0,1,1216,13,262,Software,High
California,36.116203,-119.681564,San Francisco,AdStage,operating,2012-05-01,2013-03-01,2013-06-21,0.83,1.14,0.92,1.4,4,2,1500000,3,CA,advertising,0,1,0,0,0,7.0,1,1217,304,416,Service,Low
New York,42.165726,-74.948051,New York,Slate Science,operating,2011-01-01,2013-03-06,2013-03-06,2.18,2.18,2.22,2.22,2,1,1100000,1,NY,education,0,1,0,0,0,3.0,0,1218,795,795,Service,Low
Indiana,39.849426,-86.258278,Indianapolis,Scale Computing,operating,2006-01-01,2009-05-29,2012-10-24,3.41,6.82,3.72,7.5,16,5,43000000,3,IN,enterprise,1,0,1,1,1,3.6,1,1219,1244,2488,Software,High
Washington DC,38.9198295,-77.0319173,Washington,Attentive.ly,operating,2012-06-03,2012-06-01,2013-06-15,-0.01,1.03,0.52,0.52,4,2,475000,1,DC,nonprofit,0,1,0,0,0,1.5,0,1220,-2,377,Service,Low
New York,42.165726,-74.948051,Brooklyn,Quandora,operating,2012-03-10,2013-02-20,2013-02-20,0.95,0.95,-0.07,-0.07,3,1,150000,1,NY,enterprise,0,1,0,0,0,1.0,1,1221,347,347,Software,Low
Texas,31.054487,-97.563461,Dallas,HipLogiq,operating,2013-03-08,2013-05-13,2013-11-18,0.18,0.7,0.0,0.0,7,2,12000000,1,TX,web,0,0,1,1,0,2.0,0,1222,66,255,Software,High
California,36.116203,-119.681564,Campbell,Bitglass,operating,2013-01-01,2013-03-08,2013-03-08,0.18,0.18,0.01,0.01,5,1,10000000,1,CA,other,0,0,1,0,0,2.0,1,1223,66,66,Business,Medium
California,37.7878824,-122.399447,San Francisco,Biba,operating,2012-01-01,2013-02-01,2013-06-25,1.09,1.48,0.85,1.48,11,2,15515000,2,CA,mobile,0,0,1,1,0,4.0,1,1224,397,541,software,High
Oregon,44.572021,-122.070938,Portalnd,Crowd Supply,closed,2012-01-01,2013-01-01,2013-01-01,1.0,1.0,1.0,1.0,4,1,500000,1,OR,ecommerce,0,1,0,0,0,1.0,0,1225,366,366,Software,Low
Rhode Island,41.680893,-71.51178,Providence,Plandree,closed,2012-09-10,2012-08-20,2012-12-20,-0.06,0.28,-5.28,0.63,1,2,62000,2,RI,travel,0,1,0,0,0,1.0,1,1226,-21,101,Service,Low
Nevada,38.313515,-117.055374,Las Vegas,OnTheRoad,operating,2007-12-01,2007-12-01,2007-12-01,0.0,0.0,1.98,1.98,2,1,210000,1,NV,web,0,1,0,0,0,1.0,0,1227,0,0,Software,Low
New York,42.165726,-74.948051,New York,Keepy,closed,2013-01-01,2013-10-15,2013-10-15,0.79,0.79,0.08,0.79,3,1,1100000,3,NY,social,0,1,0,0,0,8.0,1,1228,287,287,Software,Low
Illinois,40.349457,-88.986137,Chicago,Thoughtly,closed,2012-08-20,2013-12-10,2013-12-10,1.31,1.31,0.0,0.0,1,1,25000,1,IL,mobile,1,0,0,0,0,1.0,0,1229,477,477,software,Low
Illinois,41.8843738,-87.6426389,Chicago,LOOKCAST,operating,2012-01-01,2012-11-29,2012-11-29,0.91,0.91,0.92,0.92,3,1,500000,1,IL,web,0,1,0,0,0,1.0,0,1230,333,333,Software,Low
Oregon,44.572021,-122.070938,Portland,Wildfang,closed,2011-01-01,2013-03-11,2013-11-27,2.19,2.91,2.0,2.0,2,2,1975000,1,OR,fashion,1,0,0,0,0,1.0,0,1231,800,1061,Business,Low
California,36.116203,-119.681564,Sants Clara,Vasona Networks,operating,2010-01-01,2011-05-01,2013-03-19,1.33,3.21,2.33,2.33,5,2,22000000,1,CA,mobile,0,0,1,1,0,2.0,1,1232,485,1173,software,High
Nevada,38.313515,-117.055374,Las Vegas,Fluencr,operating,2012-01-01,2013-02-01,2013-09-17,1.09,1.71,1.71,1.71,4,2,335000,1,NV,web,0,1,0,0,0,2.0,0,1233,397,625,Software,Low
Washington,47.628884,-122.129762,Bellevue,Radio Runt Inc.,closed,2012-01-01,2012-01-01,2012-01-01,0.0,0.0,0.0,0.0,3,1,1000000,1,WA,software,0,1,0,0,0,1.0,0,1234,0,0,Software,Low
New York,42.165726,-74.948051,New York,AdhereTech,closed,2011-10-01,2011-07-19,2013-11-06,-0.2,2.1,0.25,2.04,3,2,620000,2,NY,medical,0,1,0,0,0,1.0,0,1235,-74,767,Service,Low
California,36.116203,-119.681564,Venice,SmartyPants Vitamins,operating,2009-01-01,2010-07-01,2013-08-21,1.5,4.64,0.16,0.16,2,4,4740000,1,CA,ecommerce,0,1,0,0,0,3.0,0,1237,546,1693,Software,Medium
New York,42.165726,-74.948051,Brooklyn,Domino Street,closed,2011-02-01,2012-03-01,2012-06-01,1.08,1.33,1.7,1.7,6,3,75000,1,NY,web,0,1,0,0,0,1.0,0,1238,394,486,Software,Low
Illinois,41.8864688,-87.6322669,Chicago,Golden Reviews,operating,2012-11-01,2012-11-01,2012-11-01,0.0,0.0,0.23,0.23,2,1,500000,1,IL,web,0,1,0,0,0,1.0,0,1239,0,0,Software,Low
California,37.7749295,-122.4194155,San Francisco,EasyPost,operating,2012-09-01,2013-03-01,2013-06-06,0.5,0.76,0.0,0.97,2,2,850000,2,CA,ecommerce,0,1,0,0,0,6.5,1,1240,181,278,Software,Low
California,36.116203,-119.681564,San Francisco,Weemo,closed,2007-12-01,2011-06-01,2013-05-20,3.5,5.47,5.34,5.97,3,2,4300000,2,CA,enterprise,0,1,0,0,0,1.0,1,1241,1278,1997,Software,Medium
California,36.116203,-119.681564,San Francisco,Rollbar,closed,2012-05-01,2012-09-01,2012-09-01,0.34,0.34,0.0,0.0,2,1,235000,1,CA,analytics,0,1,0,0,0,3.0,0,1242,123,123,Software,Low
Colorado,39.059811,-105.311104,Boulder,Startup Quest,operating,2012-05-17,2012-10-20,2012-10-20,0.43,0.43,0.0,0.0,1,1,100000,1,CO,finance,0,1,0,0,0,2.0,1,1243,156,156,Service,Low
Virginia,38.930363,-77.2195009,Tysons Corner,ID.me,operating,2010-01-01,2013-03-17,2013-09-17,3.21,3.71,3.32,3.52,1,2,3300000,2,VA,web,0,0,0,0,0,2.0,1,1244,1171,1355,Software,Medium
Ohio,40.388783,-82.764915,Cleveland,FlashStarts,operating,2013-01-01,2013-06-01,2013-06-01,0.41,0.41,0.41,0.41,3,1,14000,1,OH,software,0,1,0,0,0,1.0,0,1245,151,151,Software,Low
California,36.116203,-119.681564,Los Angeles,FindMySong,operating,2011-12-11,2013-01-13,2013-06-12,1.09,1.5,1.22,1.22,4,3,375000,1,CA,web,0,1,0,0,0,1.0,0,1247,399,549,Software,Low
California,36.116203,-119.681564,San Francisco,LearnUp,operating,2011-01-01,2012-08-16,2012-08-16,1.62,1.62,1.0,1.0,1,1,1900000,1,CA,web,0,0,0,0,0,1.0,1,1248,593,593,Software,Low
Connecticut,41.1268961,-73.3874777,Norwalk,Human Demand,closed,2012-02-01,2012-12-03,2013-03-20,0.84,1.13,0.0,1.13,4,2,1225000,2,CT,mobile,1,0,1,0,0,3.0,0,1249,306,413,software,Low
California,36.116203,-119.681564,San Mateo,StrongLoop,operating,2013-01-01,2013-03-04,2013-09-18,0.17,0.71,0.71,0.71,9,2,9000000,2,CA,software,0,1,1,0,0,1.5,1,1250,62,260,Software,Medium
New Hampshire,42.3584308,-71.0597732,Manchester,ApplyKit,operating,2012-10-01,2012-10-01,2013-08-06,0.0,0.85,0.75,0.75,3,2,98000,1,NH,education,0,1,0,0,0,1.0,0,1251,0,309,Service,Low
California,37.3597174,-121.9396645,Santa Clara,Curried Away Catering,closed,2009-01-01,2009-01-01,2009-01-01,0.0,0.0,0.0,0.0,2,1,25000,1,CA,other,0,1,0,0,0,1.0,0,1252,0,0,Business,Low
Washington,47.676762,-122.2049192,Seattle,L4 Mobile,operating,2008-01-01,2006-06-21,2006-06-21,-1.53,-1.53,2.0,2.0,6,1,4800000,1,WA,mobile,0,0,0,0,0,3.0,1,1253,-559,-559,software,Medium
Oregon,45.502468,-122.674996,Portland,Scayl,operating,2007-09-01,2013-07-02,2013-07-02,5.84,5.84,-2.47,5.62,2,1,245000,2,OR,messaging,1,0,0,0,0,1.0,1,1254,2131,2131,Software,Low
Idaho,44.240459,-114.478828,Boise,One4All,operating,2011-02-01,2011-11-04,2012-10-01,0.76,1.67,1.67,1.67,2,2,1025000,1,ID,nonprofit,0,1,0,0,0,1.0,0,1255,276,608,Service,Low
Kentucky,37.66814,-84.670067,Prospect,Red e App,closed,2011-03-01,2012-06-13,2013-03-21,1.29,2.06,1.76,2.65,8,2,1060000,3,KY,enterprise,1,0,1,0,0,1.0,0,1256,470,751,Software,Low
Florida,27.766279,-81.686783,Hallandale Beach,Nearpod,operating,2012-01-01,2013-03-01,2013-03-01,1.16,1.16,1.22,1.22,3,1,1500000,1,FL,education,0,0,0,0,0,3.0,0,1257,425,425,Service,Low
California,37.779306,-122.410401,San Francisco,Concurrent Inc,closed,2008-01-01,2011-04-10,2013-03-20,3.27,5.22,5.59,5.62,8,2,4900000,2,CA,enterprise,0,1,1,0,0,2.0,1,1258,1195,1905,Software,Medium
New York,42.165726,-74.948051,New York,Vidaao,operating,2012-09-24,2012-11-12,2013-08-22,0.13,0.91,0.79,0.91,4,2,525000,2,NY,ecommerce,0,1,0,0,0,1.0,0,1259,49,332,Software,Low
Rhode Island,41.680893,-71.51178,Providence,Learning Hyperdrive,operating,2013-02-01,2013-02-01,2013-02-01,0.0,0.0,0.0,0.0,1,1,16000,1,RI,education,0,1,0,0,0,1.0,1,1260,0,0,Service,Low
Pennsylvania,40.590752,-77.209755,Philadelphia,PeopleLinx,operating,2009-01-01,2013-03-19,2013-03-19,4.21,4.21,4.37,4.37,9,1,3200000,1,PA,software,0,0,1,0,0,3.0,1,1261,1538,1538,Software,Medium
California,36.116203,-119.681564,Santa Monica,Shop Hers,operating,2012-01-01,2012-08-15,2013-12-11,0.62,1.95,1.95,1.95,1,2,3500000,1,CA,fashion,1,1,0,0,0,7.0,1,1262,227,710,Business,Medium
Massachusetts,42.318138,-71.24756,SOUTH BOSTON,AppNeta,operating,2010-01-01,2007-07-16,2013-11-12,-2.47,3.87,2.0,2.0,17,5,55799998,1,MA,software,1,0,0,1,1,4.0,1,1263,-900,1411,Software,High
California,36.116203,-119.681564,Fountain Valley,Hang w/,operating,2011-04-20,2013-07-16,2013-07-16,2.24,2.24,1.57,2.24,4,1,2000000,2,CA,photo_video,0,0,1,0,0,2.0,0,1264,818,818,Software,Low
New York,40.762669,-73.968272,New York,SingWho,operating,2012-01-01,2013-03-25,2013-03-25,1.23,1.23,0.75,0.75,2,1,300000,1,NY,music,0,1,0,0,0,2.0,0,1265,449,449,Service,Low
California,36.116203,-119.681564,Pasadena,SquareOne,operating,2012-11-01,2013-08-05,2013-08-05,0.76,0.76,1.03,1.03,3,1,150000,1,CA,games_video,1,0,0,0,0,1.0,0,1266,277,277,Software,Low
California,36.116203,-119.681564,Santa Monica,Bettyvision,closed,2012-01-15,2012-09-01,2013-05-20,0.63,1.35,0.0,0.0,1,2,200000,1,CA,web,0,1,0,0,0,1.0,0,1267,230,491,Software,Low
Tennessee,36.1825607,-86.7487126,Nashville,Artist Growth,operating,2011-01-01,2013-03-15,2013-03-15,2.2,2.2,0.41,0.41,4,1,2000000,1,TN,mobile,0,0,0,0,0,4.0,0,1268,804,804,software,Low
Ohio,39.0472046,-84.5599169,Cincinnati,Skinny Mom,operating,2011-04-01,2013-03-15,2013-03-15,1.96,1.96,2.0,2.0,7,1,100000,2,OH,health,0,1,0,0,0,1.0,1,1269,714,714,Service,Low
California,37.7816707,-122.3924896,San Francisco,MessageMe,operating,2012-01-01,2012-07-01,2013-05-16,0.5,1.37,1.5,1.85,6,4,13375000,3,CA,messaging,1,1,1,0,0,4.75,1,1270,182,501,Software,High
California,36.116203,-119.681564,Palo Alto,RelateIQ,operating,2011-01-01,2011-08-23,2013-06-12,0.64,2.45,2.58,2.58,3,3,29000000,2,CA,enterprise,0,1,1,1,0,2.67,1,1271,234,893,Software,High
Texas,32.7968129,-96.8036123,Dallas,CrowdFeed,operating,2013-01-01,2013-03-01,2013-03-01,0.16,0.16,0.0,0.0,2,1,25000,1,TX,mobile,0,1,0,0,0,1.0,0,1272,59,59,software,Low
Missouri,38.6283027,-90.1906904,St. Louis,Time To Cater,operating,2009-11-01,2013-01-01,2013-01-01,3.17,3.17,0.0,3.34,1,2,100000,2,MO,ecommerce,0,1,0,0,0,1.0,1,1273,1157,1157,Software,Low
California,37.4990401,-122.2161198,Redwood City,Genapsys,operating,2010-01-01,2013-03-22,2013-11-14,3.22,3.87,3.87,3.87,2,2,45500000,1,CA,biotech,0,0,1,1,0,4.0,1,1274,1176,1413,software,High
Georgia,33.909439,-84.44041,Atlanta,LoopFuse,operating,2007-01-01,2009-02-12,2009-02-12,2.12,2.12,3.53,5.0,7,1,1400000,3,GA,enterprise,0,0,1,0,0,1.0,1,1275,773,773,Software,Low
New York,42.165726,-74.948051,New York,ElectNext,operating,2011-11-01,2013-04-02,2013-04-02,1.42,1.42,1.42,1.42,1,1,1300000,1,NY,analytics,0,1,0,0,0,6.0,1,1276,518,518,Software,Low
California,36.116203,-119.681564,Beverly Hills,Realty Mogul,operating,2012-01-01,2013-03-20,2013-04-01,1.22,1.25,1.27,1.27,1,2,1050000,1,CA,real_estate,1,1,0,0,0,2.0,0,1278,444,456,Business,Low
Texas,31.054487,-97.563461,Plano,Choose Energy,operating,2008-01-01,2013-03-26,2013-11-07,5.24,5.85,5.59,5.59,7,2,11500000,1,TX,cleantech,0,0,1,1,0,3.5,1,1279,1911,2137,Business,High
Maryland,39.063946,-76.802101,Baltimore,Asurvest,operating,2013-01-01,2013-03-01,2013-03-01,0.16,0.16,0.5,0.5,6,1,50000,1,MD,software,0,1,0,0,0,1.0,0,1280,59,59,Software,Low
California,34.0579135,-118.4461769,Los Angeles,dreamsha.re,operating,2013-02-03,2013-03-01,2013-03-01,0.07,0.07,0.0,0.0,2,1,20000,1,CA,software,0,1,0,0,0,1.0,0,1281,26,26,Software,Low
California,37.5207463,-122.2561061,Redwood City,Bina Technologies,operating,2010-01-01,2011-04-21,2013-07-30,1.3,3.58,2.0,2.0,10,4,10304545,1,CA,analytics,1,1,0,1,0,1.5,1,1282,475,1306,Software,Medium
New York,42.165726,-74.948051,New York,Relationship Science,operating,2010-01-01,2010-01-01,2013-06-03,0.0,3.42,2.0,2.0,3,2,90000000,1,NY,other,0,0,0,0,0,8.5,1,1283,0,1249,Business,High
Georgia,33.9058944,-84.4358414,Atlanta,PowWowHR,operating,2012-12-12,2012-12-17,2013-01-02,0.01,0.06,0.01,0.01,3,2,4302352,1,GA,enterprise,0,0,1,1,0,3.0,0,1284,5,21,Software,Medium
California,36.116203,-119.681564,San Diego,Proximal Data,operating,2011-01-01,2012-10-24,2013-04-26,1.81,2.32,2.0,2.0,2,4,7999996,1,CA,software,1,0,0,1,0,2.0,1,1285,662,846,Software,Medium
California,37.785271,-122.3975806,San Francisco,Good.Co,closed,2012-01-01,2012-12-20,2013-11-12,0.97,1.87,0.33,0.33,4,2,1418000,1,CA,web,0,1,0,0,0,6.0,1,1286,354,681,Software,Low
Wisconsin,43.0674478,-89.3923971,Madison,Propeller Health,operating,2007-01-01,2012-06-25,2013-04-05,5.48,6.26,5.84,6.26,5,3,13865200,2,WI,medical,0,0,1,0,0,1.0,1,1287,2002,2286,Service,High
California,29.717881,-95.452352,Fullerton,SeatKarma,closed,2008-03-01,2008-01-01,2008-01-01,-0.16,-0.16,1.0,1.0,3,1,30000,1,CA,web,0,1,0,0,0,1.0,0,1288,-60,-60,Software,Low
Massachusetts,42.6751888,-71.1469003,Andover,AppZero,operating,2009-01-01,2003-05-01,2007-02-06,-5.68,-1.9,3.92,3.92,7,4,15100000,1,MA,software,0,1,1,1,0,2.0,1,1289,-2072,-695,Software,High
South Carolina,34.849294,-82.3996325,Greenville,Dealer Ignition,operating,2007-11-07,2009-03-27,2009-03-27,1.39,1.39,1.37,4.15,16,1,100000,2,SC,advertising,0,0,0,0,0,1.0,0,1290,506,506,Service,Low
Massachusetts,42.3622911,-71.0816903,Cambridge,Sentimed Medical Corporation,operating,2010-11-01,2010-11-01,2013-01-01,0.0,2.17,2.17,2.17,4,2,475000,1,MA,medical,0,1,0,0,0,1.0,0,1291,0,792,Service,Low
California,37.511228,-122.200622,Redwood City,Course Hero,operating,2006-10-01,2010-01-01,2010-07-13,3.25,3.78,4.13,5.78,5,2,2383000,2,CA,education,0,1,0,0,0,6.0,1,1292,1188,1381,Service,Medium
New York,40.750669,-73.985265,New York,Mic Network,operating,2011-06-01,2013-03-01,2013-10-27,1.75,2.41,0.0,2.38,2,2,5000000,2,NY,news,0,0,0,0,0,3.5,1,1293,639,879,Service,Medium
California,36.116203,-119.681564,Culver City,Pickwick & Weller,operating,2012-01-01,2012-07-01,2013-04-03,0.5,1.25,0.0,0.0,3,3,4000000,1,CA,ecommerce,1,0,0,0,0,3.67,1,1294,182,458,Software,Medium
California,36.116203,-119.681564,Santa Monica,MD Insider,closed,2012-01-01,2012-02-01,2012-02-01,0.08,0.08,1.58,1.58,5,1,450000,1,CA,other,0,1,0,0,0,1.0,0,1295,31,31,Business,Low
Indiana,39.849426,-86.258278,Indianapolis,MaxTradeIn.com,operating,2011-09-04,2012-12-01,2013-06-11,1.24,1.77,1.74,1.74,5,2,1407360,1,IN,automotive,0,1,0,0,0,1.0,0,1296,454,646,Service,Low
New York,42.165726,-74.948051,New York,Floored,operating,2012-07-01,2012-12-01,2012-12-01,0.42,0.42,0.0,0.83,4,1,1100000,2,NY,software,0,1,0,0,0,7.0,1,1297,153,153,Software,Low
Texas,31.054487,-97.563461,Austin,Digby,operating,2006-01-01,2008-10-28,2012-03-27,2.82,6.24,4.0,7.35,8,4,16750000,3,TX,mobile,0,0,1,1,1,2.5,1,1298,1031,2277,software,High
Virginia,37.769337,-78.169968,Charlottesville,VividCortex,operating,2012-01-01,2012-10-12,2013-08-07,0.78,1.6,0.66,0.66,2,3,2673000,1,VA,analytics,1,1,0,0,0,1.5,1,1299,285,584,Software,Medium
California,37.7810008,-122.3955574,San Francisco,Handle,operating,2011-05-24,2011-11-01,2013-10-09,0.44,2.38,0.1,1.94,2,3,8310000,2,CA,messaging,0,0,1,0,0,1.5,1,1300,161,869,Software,Medium
California,36.116203,-119.681564,Palo Alto,Retrace,operating,2012-07-09,2013-04-01,2013-04-01,0.73,0.73,0.0,0.81,2,1,100000,2,CA,mobile,0,1,0,0,0,3.0,1,1301,266,266,software,Low
Virginia,37.769337,-78.169968,Reston,Canvas,operating,2008-08-01,2008-08-01,2013-05-03,0.0,4.76,0.96,5.31,21,6,9295000,4,VA,mobile,0,1,1,1,1,1.33,1,1302,0,1736,software,Medium
New York,42.165726,-74.948051,New York,PeepsOut Inc.,operating,2011-01-01,2013-10-01,2013-10-01,2.75,2.75,0.0,2.56,2,1,260000,2,NY,mobile,0,1,0,0,0,1.0,0,1303,1004,1004,software,Low
Texas,31.054487,-97.563461,Austin,SimplyTapp,closed,2011-01-01,2013-02-01,2013-11-27,2.09,2.91,2.87,2.87,4,2,200000,1,TX,mobile,0,1,1,0,0,2.0,1,1304,762,1061,software,Low
Pennsylvania,40.532969,-80.010645,Pittsburgh,Avere Systems,operating,2008-01-01,2010-08-05,2012-07-10,2.59,4.53,1.67,5.01,16,2,37000000,2,PA,network_hosting,0,0,0,1,1,3.5,1,1305,947,1652,Software,High
New York,40.7298056,-74.0082188,New York,Kinsa,operating,2012-03-27,2012-08-14,2012-08-14,0.38,0.38,0.0,0.0,2,1,2000000,1,NY,health,0,0,0,0,0,4.0,1,1306,140,140,Service,Low
California,37.4498742,-122.1209066,Palo Alto,Shopgate,operating,2009-01-01,2010-01-01,2013-06-06,1.0,4.43,4.81,4.87,5,3,9400000,3,CA,mobile,0,1,1,1,0,1.33,1,1307,365,1617,software,Medium
California,36.116203,-119.681564,San Francisco,Traffio,closed,2012-03-01,2012-01-01,2013-07-31,-0.16,1.42,0.0,0.0,2,3,700000,1,CA,games_video,0,1,0,0,0,1.0,1,1308,-60,517,Software,Low
California,37.7899027,-122.4007846,San Francisco,Bountysource,operating,2012-08-22,2013-07-17,2013-07-17,0.9,0.9,-0.56,-0.56,4,1,1100000,1,CA,web,0,1,0,0,0,2.0,0,1309,329,329,Software,Low
Kentucky,38.257035,-85.717393,Louisville,First30Days,operating,2008-02-01,2007-01-01,2007-02-11,-1.08,-0.97,0.07,0.07,26,2,5000000,1,KY,web,0,1,1,0,0,2.0,1,1310,-396,-355,Software,Medium
New York,40.745064,-73.992637,New York,Just Sing It,operating,2012-05-08,2013-04-25,2013-04-25,0.96,0.96,0.48,0.96,4,1,1000000,2,NY,games_video,1,0,0,0,0,6.0,1,1311,352,352,Software,Low
Massachusetts,42.3650128,-71.1606038,Watertown,Syros Pharmaceuticals,operating,2013-04-16,2013-04-11,2013-04-11,-0.01,-0.01,-0.29,-0.29,3,1,30000000,1,MA,biotech,0,0,1,0,0,2.0,1,1312,-5,-5,software,High
Illinois,40.349457,-88.986137,Chicago,Joint Loyalty,operating,2012-08-13,2013-06-13,2013-10-01,0.83,1.13,0.13,0.81,2,2,35000,2,IL,advertising,0,1,0,0,0,1.0,0,1313,304,414,Service,Low
California,36.116203,-119.681564,Mountain View,Tynker,operating,2012-01-01,2013-04-11,2013-04-11,1.28,1.28,1.0,1.6,3,1,3250000,2,CA,education,1,0,0,0,0,7.0,1,1314,466,466,Service,Medium
California,36.116203,-119.681564,Burlingame,Vastrm,operating,2010-01-01,2012-01-01,2013-08-29,2.0,3.66,2.75,3.73,2,2,1000000,2,CA,fashion,0,1,0,0,0,5.0,1,1315,730,1336,Business,Low
Oregon,45.5266975,-122.6880503,PORTLAND,Lytics,operating,2012-01-01,2013-07-19,2013-08-09,1.55,1.61,1.57,1.61,4,2,2300000,2,OR,software,0,0,0,0,0,5.0,1,1316,565,586,Software,Medium
California,37.777995,-122.408914,San Francisco,MyLikes,closed,2010-01-01,2010-04-13,2010-11-30,0.28,0.91,0.92,2.08,9,2,6230000,2,CA,advertising,0,1,1,0,0,7.0,1,1317,102,333,Service,Medium
California,33.582807,-117.727651,Aliso Viejo,Arkami,operating,2012-04-01,2013-08-13,2013-08-13,1.37,1.37,1.42,1.42,9,1,1800000,1,CA,hardware,0,0,1,0,0,3.0,0,1318,499,499,Hardware,Low
Texas,30.498112,-97.777273,Austin,UnboundID,operating,2007-12-01,2008-12-02,2012-03-27,1.01,4.32,0.04,4.32,18,2,14500000,2,TX,software,0,0,1,1,0,1.0,1,1319,367,1578,Software,High
Washington,47.603364,-122.333359,Seattle,Optify,operating,2008-08-08,2008-10-10,2012-07-16,0.17,3.94,2.2,4.73,18,3,10849999,3,WA,software,1,0,1,1,0,6.5,1,1320,63,1438,Software,Medium
California,37.7850379,-122.4070839,San Francisco,built.io,operating,2013-01-01,2012-11-13,2012-11-13,-0.13,-0.13,0.75,0.85,4,1,600000,2,CA,software,0,1,0,0,0,2.0,0,1321,-49,-49,Software,Low
New York,40.7454098,-73.9822211,New York,Cognitive Match,operating,2009-01-01,2009-07-01,2011-05-18,0.5,2.38,2.33,2.82,11,3,10150000,3,NY,advertising,0,0,1,1,1,1.33,0,1322,181,867,Service,Medium
New York,40.727216,-73.994797,New York,Simulmedia,operating,2009-01-01,2009-03-06,2013-12-10,0.18,4.94,1.3,4.12,5,6,57250008,3,NY,advertising,1,0,1,1,1,2.6,1,1323,64,1804,Service,High
California,36.116203,-119.681564,San Francisco,Brandcast,operating,2012-01-01,2012-01-01,2013-01-01,0.0,1.0,0.0,1.29,4,2,1800000,2,CA,web,0,1,1,0,0,1.0,0,1324,0,366,Software,Low
Virginia,38.9530391,-77.3479238,Reston,VisualCV,closed,2006-12-19,2008-02-11,2008-02-11,1.15,1.15,1.15,3.55,8,1,5000000,4,VA,web,0,0,1,0,0,2.0,1,1325,419,419,Software,Medium
Utah,40.769795,-111.904545,Salt Lake City,Radiate Media,operating,2011-01-01,2011-11-01,2013-08-21,0.83,2.64,0.83,0.83,3,2,29474557,1,UT,news,1,0,0,1,0,3.0,1,1326,304,963,Service,High
California,37.4189073,-122.0884286,Mountain View,Gridstore,operating,2009-01-01,2010-12-29,2013-12-04,1.99,4.93,3.79,3.84,7,3,25470400,2,CA,network_hosting,0,0,1,1,0,3.33,1,1327,727,1798,Software,High
Georgia,33.7489954,-84.3879824,Atlanta,Ionic Security,operating,2011-01-01,2013-04-19,2013-04-19,2.3,2.3,2.3,2.3,2,1,9400000,1,GA,security,0,0,1,0,0,5.0,1,1328,839,839,Service,Medium
Colorado,40.146898,-105.1350397,Longmont,Rebit,operating,2007-01-01,2008-12-01,2010-01-22,1.92,3.06,2.0,3.63,8,2,6700000,2,CO,software,0,0,0,1,1,3.0,1,1331,700,1117,Software,Medium
Washington,47.400902,-121.490494,Seattle,LiquidPlanner,closed,2006-03-01,2008-01-01,2009-06-22,1.84,3.31,3.34,6.79,4,2,2200000,4,WA,software,0,1,0,0,0,2.5,1,1332,671,1209,Software,Medium
Colorado,39.733536,-104.992611,Denver,Brandfolder,operating,2012-11-01,2013-03-01,2013-05-13,0.33,0.53,0.5,0.5,4,2,320000,1,CO,software,0,1,0,0,0,1.0,1,1333,120,193,Software,Low
